Equipes,Youtube,Github
"['Equipe Safety Locks', '1º ADS - A']",['https://www.youtube.com/watch?v=wBGFIl4ZthE'],não possue
"['Equipe 3RAG', '1º ADS - A']",['https://www.youtube.com/watch?v=mCMZn1g1DBo'],https://github.com/Syank/PI-HortaAutomatizada
"['Equipe Team Of The Semester', '1º ADS - A']",['https://www.youtube.com/watch?v=gBqtKcwlkwg'],https://github.com/guitambau/tots
"['Equipe Energy Control', '1º ADS - A']",['https://www.youtube.com/watch?v=Vbet4k0QA9M'],https://github.com/kevingabrielmelo/ENERGY-CONTROL
"['Equipe Psycho', '1º ADS - A']",['https://www.youtube.com/watch?v=D3UMamagQYU'],https://github.com/Vitoglok/Aplicativo-Andorid
"['Equipe Smart Stock', '1º ADS - A']",['https://www.youtube.com/watch?v=BxzbVKHUA_g'],https://github.com/AFLgrupo/SmartStock
"['Equipe Hexágono', '1º ADS - A']",['https://www.youtube.com/watch?v=AYty7aQO1_A'],https://github.com/cacauisadog/hexagono-fatec
"['Equipe LITTLE PET', '1º ADS - B']",['https://www.youtube.com/watch?v=r1apVR5S3Lo'],não possue
"['Equipe Slim', '1º ADS - B']",['https://www.youtube.com/watch?v=KB0SPYvsxZk'],não possue
"['Equipe FARMTECH', '1º ADS - B']",['https://www.youtube.com/watch?v=Sz8bjA0C3eQ'],não possue
"['Equipe GreenTech', '1º ADS - B']",['https://www.youtube.com/watch?v=bYtuKfBUEdQ'],não possue
"['Equipe iPET', '1º ADS - B']",['https://www.youtube.com/watch?v=32ptJYlUAXo'],https://github.com/MatheusCoxxxta/ipet-app
"['Equipe JeRso', '1º ADS - B']",['https://www.youtube.com/watch?v=jxdwCIXG6nQ'],https://github.com/EquipeJerso/ProjetoPMIC
"['Equipe Home Solutions', '1º ADS - B']",['https://www.youtube.com/watch?v=9zbqYkU-me4'],https://github.com/eusoutheu/homesolutions
"['Equipe 1', '1º BD']",['https://www.youtube.com/watch?v=g82Hj9fPcDw'],não possue
"['Equipe 2', '1º BD']",['https://www.youtube.com/watch?v=5q9AW1OUbXE'],não possue
"['Equipe 3', '1º BD']",['https://www.youtube.com/watch?v=gUKQfa1pHys'],não possue
"['Equipe 5', '1º BD']",['https://www.youtube.com/watch?v=xlltAsFQC90'],não possue
"['Equipe 6', '1º BD']",['https://www.youtube.com/watch?v=7vHIkx5pvZ4'],não possue
"['Equipe 7', '1º BD']",['https://www.youtube.com/watch?v=ztBvIPdmXEY'],não possue
"['Equipe 8', '1º BD']",['https://www.youtube.com/watch?v=k9nQJGd9fRA'],não possue
"['Equipe 9', '1º BD']",['https://www.youtube.com/watch?v=Mz8vc27xbKY'],não possue
"['Equipe 1', '2º ADS - A']",['https://www.youtube.com/watch?v=o1WAWSn2kks'],https://github.com/justhenrique/SPC-projeto-integrador
"['Equipe 2', '2º ADS - A']",['https://www.youtube.com/watch?v=Fj5llzmg01I'],https://github.com/EvandroRBR/Tratamento-de-dados-SPC
"['Equipe 3', '2º ADS - A']",['https://www.youtube.com/watch?v=tl6yQd9AWu4'],https://github.com/ThallesTorres/Projeto_SPC
"['Equipe 4', '2º ADS - A']",['https://www.youtube.com/watch?v=X4Hpez769dM'],https://github.com/marciosousa4/projeto-integrador
"['Equipe 5', '2º ADS - A']",['https://youtu.be/pLDn2JANHBY'],https://github.com/HenriqueNawa/Projeto-SPC-Brasil-Fatec-2020
"['Equipe 1', '2º ADS - B']",['https://www.youtube.com/watch?v=9KYsCrgorTk'],https://github.com/lucassilva676/PI_SPC
"['Equipe 3', '2º ADS - B']",['https://www.youtube.com/watch?v=FWIq11U5yv4'],https://github.com/QuodJP/PI-SPCBrasil-2020
"['Equipe 1', '2º BD']",['https://youtu.be/GvCsE2-CJKo'],não possue
"['Equipe 2', '2º BD']",['https://youtu.be/oXX6T62uL8M'],não possue
"['Equipe 6', '2º BD']",['https://youtu.be/SmKH71QT4dc'],não possue
"['Equipe 7', '2º BD']",['https://youtu.be/JAB1JZbu-4Q'],não possue
"['Equipe 8', '2º BD']",['https://youtu.be/OVKcmNNOTZ0'],não possue
"['Equipe 1', '3º ADS - A']",['https://www.youtube.com/watch?v=-ejchD2ysoQ'],https://github.com/KurtRodrigues/IGN-II_GSW
"['Equipe 2', '3º ADS - A']",['https://www.youtube.com/watch?v=3XOAsKkF7D4'],não possue
"['Equipe 3', '3º ADS - A']",['https://www.youtube.com/watch?v=nqnr9gfxJFo'],https://github.com/eduardoquerido/eng_soft2_fatec
"['Equipe 4', '3º ADS - A']",['https://www.youtube.com/watch?v=-mjd-cFmYnc'],https://github.com/isarps/ProjectESWII
"['Equipe 5', '3º ADS - A']",['https://youtu.be/kPtPQXiAs8U'],https://github.com/fabsvas/ENGSW2_GSW
"['Equipe 2', '5º ADS']",['https://www.youtube.com/watch?v=p0lWKZmcwCA'],https://github.com/MarcioOrdonez/segurancadainformacao 
"['Equipe 4', '5º ADS']",['https://www.youtube.com/watch?v=UEmsaufV0oI'],https://github.com/LLBueno/seguranca-informacao 
"['Equipe 5', '5º ADS']",['https://www.youtube.com/watch?v=diLUU0bPdSc'],https://github.com/LASalvador/seguranca-informacao 
